"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 31 10:48:06 GMT 2024","Sat Aug 31 10:48:10 GMT 2024","4702","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sat Aug 31 10:47:18 GMT 2024","Sat Aug 31 10:47:21 GMT 2024","2353","tests","Widgets","TestWidgets","","","Click accordian and check its content which contains several paragraphs",""
"passed","Sat Aug 31 10:47:38 GMT 2024","Sat Aug 31 10:47:45 GMT 2024","7453","tests","Widgets","TestWidgets","","","Set date and time via web calender widget",""
"passed","Sat Aug 31 10:47:21 GMT 2024","Sat Aug 31 10:47:24 GMT 2024","2958","tests","Widgets","TestWidgets","","","Enter several colors",""
"failed","Sat Aug 31 10:48:03 GMT 2024","Sat Aug 31 10:48:05 GMT 2024","2426","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
"passed","Sat Aug 31 10:47:12 GMT 2024","Sat Aug 31 10:47:15 GMT 2024","3082","tests","Widgets","TestWidgets","","","Click accordian and check its content",""
"broken","Sat Aug 31 10:47:28 GMT 2024","Sat Aug 31 10:47:37 GMT 2024","9913","tests","Widgets","TestWidgets","","","Set date via web calender widget",""
"passed","Sat Aug 31 10:47:49 GMT 2024","Sat Aug 31 10:47:57 GMT 2024","7410","tests","Widgets","TestWidgets","","","Click and stop progress bar",""
"passed","Sat Aug 31 10:48:26 GMT 2024","Sat Aug 31 10:48:30 GMT 2024","4571","tests","Widgets","TestWidgets","","","Check menu elements",""
"passed","Sat Aug 31 10:48:16 GMT 2024","Sat Aug 31 10:48:20 GMT 2024","4112","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sat Aug 31 10:48:20 GMT 2024","Sat Aug 31 10:48:25 GMT 2024","4630","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sat Aug 31 10:47:46 GMT 2024","Sat Aug 31 10:47:49 GMT 2024","2882","tests","Widgets","TestWidgets","","","Move slider",""
"passed","Sat Aug 31 10:48:00 GMT 2024","Sat Aug 31 10:48:02 GMT 2024","2017","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
"passed","Sat Aug 31 10:47:57 GMT 2024","Sat Aug 31 10:48:00 GMT 2024","2887","tests","Widgets","TestWidgets","","","Click tabs and check their content",""
"passed","Sat Aug 31 10:47:16 GMT 2024","Sat Aug 31 10:47:18 GMT 2024","2272","tests","Widgets","TestWidgets","","","Click accordian and check its content",""
"passed","Sat Aug 31 10:48:11 GMT 2024","Sat Aug 31 10:48:15 GMT 2024","4545","tests","Widgets","TestWidgets","","","Hover tooltips and check their content",""
"passed","Sat Aug 31 10:47:24 GMT 2024","Sat Aug 31 10:47:27 GMT 2024","2722","tests","Widgets","TestWidgets","","","Enter single color",""
