"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Downloading and uploading files","","0","0","2","0","0"
"","Autocomplete","","0","0","2","0","0"
"","Accodrian","","0","0","3","0","0"
"","Tabs","","0","0","3","0","0"
"","Sortable elements","","0","0","2","0","0"
"","Filling practice form fields","","0","2","0","0","0"
"","Tooltips","","0","1","3","0","0"
"","Text box","","0","0","1","0","0"
"","Droppable elements","","0","0","6","0","0"
"","Web page alerts","","0","0","8","0","0"
"","Radio buttons","","0","0","2","0","0"
"","Web page nested frames","","0","0","1","0","0"
"","Normal and broken links","","0","0","8","0","0"
"","Web tables","","0","0","5","0","0"
"","Date and time picker","","1","0","1","0","0"
"","Slider","","0","0","1","0","0"
"","Resizeable elements","","0","0","2","0","0"
"","New tabs and windows","","0","0","2","0","0"
"","Progress bar","","0","0","1","0","0"
"","Dynamic properties","","0","0","3","0","0"
"","Modal dialogs","","1","0","1","0","0"
"","Draggable elements","","1","0","2","0","0"
"","Web page frames","","0","0","2","0","0"
"","Selectable elements","","0","0","2","0","0"
"","Check box","","0","0","1","0","0"
"","Different types of clicks","","0","0","3","0","0"
"","Menu","","0","0","1","0","0"
